alpha_reference,run,alpha_SK,alpha_SP
0.3,run-001,0.314829140494652,0.315504
0.3,run-002,0.314744311633322,0.314493
0.3,run-003,0.316114365874323,0.315437
0.3,run-004,0.315295354721106,0.313554
0.3,run-005,0.316148630018351,0.314388
0.3,run-006,0.316018927219199,0.312227
0.3,run-007,0.315759229827323,0.31478
0.3,run-008,0.316006449148108,0.315592
0.3,run-009,0.315447888526183,0.314414
0.3,run-010,0.316127332168215,0.315808
0.3,run-011,0.315658932287083,0.310865
0.3,run-012,0.315828723018256,0.312902
0.3,run-013,0.315384711214388,0.313462
0.3,run-014,0.316095430077323,0.315772
0.3,run-015,0.315904032069074,0.312046
0.3,run-016,0.315758976222498,0.312434
0.3,run-017,0.315237362177434,0.314241
0.3,run-018,0.315446297899319,0.310504
0.3,run-019,0.316192024618419,0.311849
0.3,run-020,0.315646113394389,0.31326
0.5,run-001,0.525267906071353,0.51074
0.5,run-002,0.524720675010336,0.508306
0.5,run-003,0.524935351094549,0.509208
0.5,run-004,0.526210107827988,0.510311
0.5,run-005,0.524955864694464,0.510261
0.5,run-006,0.526193247270778,0.510799
0.5,run-007,0.525220237646612,0.509687
0.5,run-008,0.526038941656232,0.507472
0.5,run-009,0.526455404231444,0.508267
0.5,run-010,0.52481360038511,0.50799
0.5,run-011,0.52488942284309,0.510081
0.5,run-012,0.525272615168635,0.50987
0.5,run-013,0.526169390640436,0.510075
0.5,run-014,0.525882932540573,0.509262
0.5,run-015,0.525119843539505,0.510432
0.5,run-016,0.526109080602081,0.508536
0.5,run-017,0.52493292574658,0.508841
0.5,run-018,0.52607248197572,0.510501
0.5,run-019,0.525166940255142,0.511595
0.5,run-020,0.526085560215233,0.507425
0.7,run-001,0.734771592151476,0.703059
0.7,run-002,0.735040778628074,0.706707
0.7,run-003,0.734440841491444,0.705349
0.7,run-004,0.734007865364405,0.703898
0.7,run-005,0.734300393382592,0.704043
0.7,run-006,0.734143278290399,0.7041
0.7,run-007,0.734887119337553,0.705294
0.7,run-008,0.734530473062623,0.70765
0.7,run-009,0.735322204586546,0.705993
0.7,run-010,0.734960561317406,0.703873
0.7,run-011,0.734562847620474,0.705161
0.7,run-012,0.734074710199613,0.704701
0.7,run-013,0.73437490888496,0.705349
0.7,run-014,0.733640060702005,0.704986
0.7,run-015,0.733511078596865,0.703227
0.7,run-016,0.734588349856521,0.706409
0.7,run-017,0.735655959439889,0.704292
0.7,run-018,0.73472548758437,0.701931
0.7,run-019,0.734804506776554,0.704308
0.7,run-020,0.733870927894858,0.706293
1,run-001,1.04789716761006,0.999073
1,run-002,1.04722795638585,0.994084
1,run-003,1.04793467626808,1.000791
1,run-004,1.04805431774543,0.998753
1,run-005,1.04768055882681,1.000604
1,run-006,1.04760758149427,0.998543
1,run-007,1.04843234470143,1.002569
1,run-008,1.04891371514933,1.001156
1,run-009,1.04795245187913,1.000792
1,run-010,1.04817262190605,0.999346
1,run-011,1.04746924148148,1.000154
1,run-012,1.0469888738021,0.998539
1,run-013,1.04839526942302,1.002813
1,run-014,1.04790777802062,0.999392
1,run-015,1.04809613107978,0.999416
1,run-016,1.04783717447319,1.002686
1,run-017,1.04712319217769,1.001793
1,run-018,1.04720745940025,0.997673
1,run-019,1.04873036278092,1.000863
1,run-020,1.04782747918353,1.001178
1.5,run-001,1.56972501865993,1.496407
1.5,run-002,1.57031798359243,1.494879
1.5,run-003,1.56917599337465,1.486053
1.5,run-004,1.56965505351007,1.494777
1.5,run-005,1.56899417162341,1.493805
1.5,run-006,1.56921629107701,1.490192
1.5,run-007,1.56866116868079,1.492315
1.5,run-008,1.57075903198818,1.496674
1.5,run-009,1.56876199826592,1.487181
1.5,run-010,1.56869060190533,1.492789
1.5,run-011,1.57028772847228,1.485665
1.5,run-012,1.56951051354435,1.48766
1.5,run-013,1.56920832393376,1.488215
1.5,run-014,1.56913750877627,1.48472
1.5,run-015,1.56847083127142,1.493322
1.5,run-016,1.56909908200342,1.492747
1.5,run-017,1.56883492081024,1.488254
1.5,run-018,1.56938066635574,1.494577
1.5,run-019,1.56941965590688,1.484521
1.5,run-020,1.56907755278594,1.494601
2,run-001,2.08862166762334,1.987755
2,run-002,2.08864070907203,1.985239
2,run-003,2.08834248773536,1.908997
2,run-004,2.0885554149078,1.952855
2,run-005,2.08835535935379,1.988341
2,run-006,2.0887996477041,1.975028
2,run-007,2.08806439225191,1.981601
2,run-008,2.08837746875744,1.986143
2,run-009,2.08893713462489,1.990956
2,run-010,2.08824839953494,1.987476
2,run-011,2.08860716431283,1.990557
2,run-012,2.08846940731105,1.985313
2,run-013,2.0886288583251,1.987183
2,run-014,2.08869958709009,1.98134
2,run-015,2.08862684169875,1.988482
2,run-016,2.08881753423652,1.993558
2,run-017,2.08877327804628,1.93709
2,run-018,2.08861318485635,1.982867
2,run-019,2.08913304695323,1.981694
2,run-020,2.08861780835556,1.954007
2.5,run-001,2.60344896279678,2.482936
2.5,run-002,2.6037068484676,2.491142
2.5,run-003,2.60352718598883,2.485807
2.5,run-004,2.68903594229117,2.4853
2.5,run-005,2.69167997341508,2.485298
2.5,run-006,2.6037048623354,2.478539
2.5,run-007,2.62304042679681,2.481586
2.5,run-008,2.60367781278028,2.479555
2.5,run-009,2.68991975343138,2.478105
2.5,run-010,2.60354012060987,2.483483
2.5,run-011,2.60341770334335,2.477142
2.5,run-012,2.60354468438082,2.486424
2.5,run-013,2.60373115281089,2.481644
2.5,run-014,2.60404666806099,2.483942
2.5,run-015,2.60369740040987,2.478918
2.5,run-016,2.60351677835715,2.482025
2.5,run-017,2.68615326884431,2.478547
2.5,run-018,2.68324997593981,2.479622
2.5,run-019,2.66965409061145,2.47773
2.5,run-020,2.69209035397088,2.486711
3,run-001,3.14463962674936,2.961545
3,run-002,3.14449126013446,2.975582
3,run-003,3.14447846401002,2.964041
